Satellite Messages
"Message 23435V[1.3]B[0003266717]L[-0.002545,-0.002681,599.0]R[0.426609,0.173074,0.067977]A[-0.005882,-0.029200,-0.022269]G[0.303937,0.442835,0.299526]"
"Message 23436V[1.3]B[0003266717]L[0.002197,-0.001020,599.6]R[-0.113809,0.030596,-0.017562]A[-0.096629,-0.109050,-0.047206]G[-0.119616,0.011465,0.072654]"
"Message 23437V[1.3]B[0003266717]L[-0.006437,0.000348,600.2]R[0.446655,-0.169456,0.040869]A[-0.124827,-0.047830,0.018937]G[-0.428639,-0.017710,0.207954]"
"Message 23438V[1.3]B[0003266717]L[-0.006552,-0.004682,599.2]R[1.202632,-0.260759,0.080935]A[-0.196145,0.046183,0.086619]G[-0.047089,0.333028,0.591753]"
"Message 23439V[1.3]B[0003266717]L[-0.000750,-0.011833,599.2]R[1.057900,-0.418473,0.106421]A[-0.149688,-0.000741,0.018106]G[0.291055,0.430758,0.818553]"
"Message 23440V[1.3]B[0003266717]L[0.007753,-0.017982,599.5]R[1.101744,-0.014442,0.042166]A[-0.187894,0.031986,-0.019607]G[0.005717,0.172226,0.536650]"
"Message 23441V[1.3]B[0003266717]L[0.005489,-0.019558,599.0]R[0.476809,0.000898,0.081456]A[-0.175813,0.039694,-0.074412]G[-0.070266,0.670821,0.672926]"
"Message 23442V[1.3]B[0003266717]L[-0.004462,-0.019220,598.9]R[0.887702,-0.109876,0.014164]A[-0.143091,0.029929,-0.101688]G[0.088854,1.007298,1.090229]"
"Message 23443V[1.3]B[0003266717]L[-0.008040,-0.026764,597.9]R[0.368615,0.349436,0.056153]A[-0.198663,0.089852,-0.105568]G[-0.271016,0.565787,1.138194]"
"Message 23444V[1.3]B[0003266717]L[-0.003333,-0.023267,597.2]R[-0.159467,0.659078,0.069986]A[-0.157847,0.099173,-0.082571]G[-0.320354,0.815165,0.986062]"
"Message 23445V[1.3]B[0003266717]L[0.000878,-0.031802,598.1]R[-0.681032,0.357295,0.027272]A[-0.150768,0.045888,-0.046196]G[-0.275499,0.349029,1.482314]"
"Message 23446V[1.3]B[0003266717]L[0.007653,-0.030553,597.2]R[-1.280277,0.334635,-0.014101]A[-0.077270,0.106658,-0.099575]G[-0.055551,0.290862,1.220520]"
"Message 23447V[1.3]B[0003266717]L[0.004016,-0.022528,597.1]R[-0.391010,0.708512,0.012399]A[-0.025461,0.155057,-0.089413]G[-0.287637,0.214850,0.982129]"
"Message 23448V[1.3]B[0003266717]L[0.001192,-0.025445,597.5]R[-1.295608,0.847310,0.081443]A[-0.111535,0.097283,-0.034727]G[-0.684831,0.352816,0.548954]"
"Message 23449V[1.3]B[0003266717]L[-0.007377,-0.015815,597.5]R[-0.325636,0.966688,0.069535]A[-0.117740,0.006356,-0.035203]G[-0.313883,0.605884,0.916448]"
"Message 23450V[1.3]B[0003266717]L[-0.007093,-0.007228,598.2]R[-0.327844,0.669587,0.086127]A[-0.187227,-0.000338,0.019276]G[-0.812255,0.387243,0.698621]"
"Message 23451V[1.3]B[0003266717]L[-0.013020,-0.001982,598.6]R[-1.085291,0.596945,0.109102]A[-0.218432,0.018816,0.030507]G[-0.505028,-0.096229,0.366310]"
"Message 23452V[1.3]B[0003266717]L[-0.009251,0.002877,599.2]R[-2.059271,1.028122,0.028379]A[-0.154014,0.057600,0.049585]G[-0.615073,-0.212151,0.372589]"
"Message 23453V[1.3]B[0003266717]L[-0.007639,0.004571,598.2]R[-1.254167,1.272842,0.007881]A[-0.131199,-0.003749,0.148779]G[-0.680714,-0.535919,0.753657]"
"Message 23454V[1.3]B[0003266717]L[-0.014401,0.006328,597.3]R[-0.950766,0.819597,-0.028932]A[-0.196489,-0.056919,0.097562]G[-0.217897,-0.539667,0.962005]"
"Message 23455V[1.3]B[0003266717]L[-0.006972,-0.002825,596.5]R[-0.175309,0.458630,0.005515]A[-0.210667,-0.040973,0.132878]G[-0.527381,-0.191279,1.241420]"
"Message 23456V[1.3]B[0003266717]L[-0.011844,-0.001305,596.6]R[-0.706257,0.097561,0.046410]A[-0.306877,-0.033096,0.231746]G[-0.180337,-0.007265,1.635129]"
"Message 23457V[1.3]B[0003266717]L[-0.002814,0.003920,596.1]R[-0.520711,-0.309362,0.074617]A[-0.252805,-0.022310,0.198972]G[0.193619,-0.174208,1.847726]"
